,high,low,open,close
304718,0.60827,0.60121,0.60121,0.60798
304719,0.60901,0.60379,0.60772,0.60551
304720,0.60887,0.60459,0.60558,0.60764
304721,0.61002,0.60588,0.60779,0.60838
304722,0.60872,0.60295,0.60853,0.60419
304723,0.60779,0.60441,0.60441,0.60544
304724,0.60584,0.6035,0.60529,0.60397
304725,0.60687,0.60292,0.60386,0.6054
304726,0.60624,0.60299,0.60569,0.60489
304727,0.60661,0.60245,0.60492,0.60361
304728,0.60646,0.60339,0.6058,0.60339
304729,0.60397,0.60201,0.60361,0.6027
304730,0.60343,0.59404,0.60295,0.59563
304731,0.59841,0.5927,0.59559,0.59588
304732,0.5963,0.59312,0.59588,0.59446
304733,0.59379,0.59001,0.59316,0.59193
304734,0.61275,0.59098,0.59203,0.59488
304735,0.59751,0.59446,0.59495,0.59577
304736,0.59652,0.59485,0.59573,0.59623
304737,0.59748,0.59531,0.59623,0.59705
304738,0.59677,0.59365,0.59613,0.59517
304739,0.59784,0.59506,0.59538,0.59648
304740,0.59859,0.59404,0.59627,0.59666
304741,0.60306,0.59666,0.59748,0.5978
304742,0.60328,0.59673,0.59773,0.60314
304743,0.60646,0.6002,0.60107,0.60467
304744,0.60669,0.6023,0.60452,0.6035
304745,0.60805,0.60226,0.60405,0.60728
304746,0.61035,0.60584,0.6072,0.60606
304747,0.60879,0.60288,0.60632,0.60314
304748,0.61039,0.60368,0.60492,0.60909
304749,0.61185,0.60879,0.60931,0.60953
304750,0.61455,0.59513,0.60994,0.61166
304751,0.61316,0.60998,0.61173,0.61211
304752,0.61824,0.61117,0.61218,0.61538
304753,0.61448,0.6082,0.61414,0.61043
304754,0.61271,0.60901,0.61061,0.60964
304755,0.61444,0.60953,0.60964,0.61095
304756,0.61335,0.60827,0.61102,0.61102
304757,0.61365,0.60887,0.61099,0.61252
304758,0.61786,0.61301,0.61323,0.61576
304759,0.61969,0.6152,0.61599,0.61603
304760,0.61939,0.61512,0.61599,0.61839
304761,0.61939,0.61143,0.61847,0.61357
304762,0.61592,0.60909,0.61346,0.61155
304763,0.61342,0.60794,0.61267,0.60994
304764,0.60968,0.60646,0.60739,0.60753
304765,0.60968,0.60646,0.60753,0.60731
304766,0.60805,0.60558,0.60739,0.60643
304767,0.6089,0.60397,0.60624,0.60573
304768,0.61256,0.6058,0.6058,0.61151
304769,0.61576,0.6105,0.61185,0.61482
304770,0.61527,0.61188,0.61489,0.61323
304771,0.61671,0.61248,0.61338,0.61565
304772,0.62073,0.61512,0.6155,0.6205
304773,0.62154,0.61912,0.62108,0.62
304774,0.62201,0.6187,0.61992,0.62027
304775,0.62282,0.6182,0.61981,0.62127
304776,0.62305,0.62058,0.62108,0.62143
304777,0.62162,0.61132,0.62162,0.61463
304778,0.61793,0.61331,0.61599,0.61554
304779,0.61709,0.61282,0.61535,0.61455
304780,0.61828,0.6138,0.6147,0.61767
